formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull
Na7I6_s022,Na7I6,0.0,21.15968663286265,20.830744380781457,21.78859289100837,0.0,156,-2.5565000680776744,0.028807511696448795,-2.5500975815384614,0.03785892718832917
Ba2P1_s038,Ba2P1,19.583857675561685,57.48736937844806,57.12683463170919,59.291488316714826,61.55439401560552,156,-3.895776112874349,0.023755967617034468,-3.9043580344444444,-0.00226724861111105
Cs3Cl2_s023,Cs3Cl2,0.0,66.44344027732461,54.387709018146126,49.29919121301079,0.0,156,-2.797379493713379,0.019210994243621826,-2.7950424519999997,0.039973734413793593
Na7Cl6_s016,Na7Cl6,0.0,23.938660078170702,23.938660078170702,24.30803378154022,0.0,156,-3.2030633779672475,0.02173608999985932,-3.201915036153846,0.02733849872679084
Na7Cl6_s015,Na7Cl6,0.0,23.51288699324022,23.51288699324022,24.00508132531923,0.0,156,-3.196966317983774,0.02783314998333264,-3.1967478961538465,0.032505638726790576
K7Cl6_s022,K7Cl6,0.0,24.2643614736296,24.745752153247043,24.69487680485521,0.0,156,-3.230623098520132,0.019258306576655393,-3.2037895884615386,0.04842760284615366
Li9N2_s005,Li9N2,19.38762895286903,30.474086457546928,20.605090602296137,24.29063159958993,42.61774148923394,156,-3.323272011496804,0.03926294500177541,-3.3243182336363635,0.0198304736363637
Cs4Cl3_s024,Cs4Cl3,0.0,36.39148243277104,38.077087138701735,36.861150981003966,0.0,156,-2.9356226239885603,0.02203422784805298,-2.936276906428571,0.03728312386699573
Li7N1_s007,Li7N1,0.0,14.566412122479564,27.510136485967703,10.527704727189125,25.28768193606344,148,-2.859121322631836,0.04802656173706055,-2.8927528904166664,0.002887741666667054
Y9N8_s013,Y9N8,0.0,24.687663989857107,24.74137761707956,23.648628182098783,25.525021737933063,148,-8.932314405254289,-0.0005191167195626178,-8.969981950196079,-0.03587860000000198
Cs6O1_s019,Cs6O1,86.99228059460829,45.011305708486205,45.41681232440257,87.30559580932517,54.0998547199848,148,-1.834320068359375,0.03654556274414045,-1.8641350061904762,0.042449276124794544
Cs7I6_s014,Cs7I6,0.0,50.28720607142174,50.28720607142174,50.64330511509054,0.0,148,-2.6136104877178488,-0.02234041232329176,-2.578785310769231,0.033760548620689335
Rb6O1_s031,Rb6O1,0.0,28.977383458952804,30.28912316236217,61.66894043423794,60.987077332979865,148,-1.9347879318963914,0.010270584197271448,-1.9253657266666666,0.040706396011904955
Rb9Br8_s029,Rb9Br8,43.0364891973568,44.32069939104223,44.35077976071186,43.892111431321,0.0,139,-2.949399835923139,-0.007783637327306359,-2.9100524576470588,0.037345245441176456
Y8N7_s024,Y8N7,0.0,25.136350547432897,25.602583486398466,0.0,20.35966850665389,139,-8.88304443359375,0.028042411804198863,-8.924262064333334,-0.010722316111113628
Rb8Br7_s024,Rb8Br7,0.0,46.49377670087652,47.81375143073301,45.92229091663978,0.0,139,-2.9217488606770834,0.003156057993570993,-2.8915809766666665,0.03942619616666665
Y9N8_s025,Y9N8,0.0,25.387589711454904,23.94853963315649,0.0,20.79599383555284,139,-8.91126116584329,0.020534122691435286,-8.95132032382353,-0.01721697362745367
Rb8Cl7_s029,Rb8Cl7,0.0,47.47004741188071,48.9241420500448,46.48128407204364,0.0,139,-3.1862548828125,0.0025052070617679334,-3.1498371806666667,0.044445778833333005
Cs4S1_s003,Cs4S1,0.0,84.22728104147647,84.81747889006986,84.79638269732895,0.0,139,-2.093528938293457,0.003839468955993741,-2.073349606,0.045684744827586776
Na7Cl5_s020,Na7Cl5,0.0,22.229549302526657,22.229549302526657,37.759088881442,0.0,139,-3.0146735509236655,0.023898164431254365,-3.006910162916667,0.036967015158046124
Li6N1_s038,Li6N1,81.600720876166,67.5801845891287,39.15173984607875,78.73904975664783,32.65649462974437,139,-3.001852035522461,0.0484175000871927,-2.9920415071428574,0.04455880571428539
K4O1_s019,K4O1,87.54164930005122,88.23885090874998,86.78444793681278,84.78754904297489,0.0,139,-2.4715978622436525,0.009539556503296076,-2.439412753,0.04981373780000009
K4O1_s013,K4O1,87.67081217739542,88.37038529595317,86.93720935067311,84.96167665581338,0.0,139,-2.4715974807739256,0.009539937973022994,-2.439341654,0.0498848368
Li7P1_s042,Li7P1,0.0,30.46287388668739,18.610307990043847,7.056558285652626,27.652317555164142,129,-2.6485090255737305,0.04694044589996338,-2.655186705625,0.04007015958333371
Y3N2_s022,Y3N2,0.0,21.095831361427177,10.56764616272016,25.54324874217625,0.0,129,-8.53085708618164,0.028186225891113637,-8.549412095,0.014546419666666921
Na8Cl7_s025,Na8Cl7,0.0,23.56403255992476,23.744221191797937,24.28766386802184,0.0,123,-3.2318125406901044,0.014270099004109138,-3.2191211226666665,0.0313182815632187
Ba6S5_s004,Ba6S5,25.63383024264848,24.118083826204725,26.500611678208568,25.96657147205008,0.0,123,-4.775341033935547,0.034173759547146965,-4.783425965454546,0.033073165454544196
Y8N7_s009,Y8N7,0.0,29.10932049164943,27.610503477315028,0.0,24.80443552340906,123,-8.885884602864584,0.025202242533364227,-8.926197928666666,-0.012658180444445222
Sc8N7_s004,Sc8N7,0.0,0.0,25.47906257942972,0.0,23.280298143077875,123,-9.023600260416666,0.0202884165445969,-9.017196438000001,0.04008620066666779
Cs8Cl7_s005,Cs8Cl7,0.0,44.20152613749656,44.70442966082496,44.19153375511473,0.0,123,-3.1495590209960938,-0.0038136839866638184,-3.1336858566666668,0.02459929880459777
Y8N7_s017,Y8N7,0.0,24.735660431245485,26.935822105221856,0.0,21.05517800577185,123,-8.880628458658855,0.030458386739093513,-8.922035886,-0.008496137777779467
